Category,Message,Message Traduit
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...","Mandehana hatramin'ny jurong point, adala.. Tsy misy afa-tsy any bugis n great world la e buffet... Cine any got amore wat..."
ham,Ok lar... Joking wif u oni...,Ok lar... Mivazivazy raha oni...
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,Fidirana maimaim-poana amin'ny 2 isan-kerinandro mba handresena ny fiadiana ny amboara FA amin'ny 21 Mey 2005. Alefaso ny FA amin'ny 87121 hahazoana fanontaniana momba ny fidirana (std text rate) Mihatra ny T&Cs 08452810075 mihoatra ny 18 taona
ham,U dun say so early hor... U c already then say...,Efa teneninao aloha hoe...
ham,"Nah I don't think he goes to usf, he lives around here though",Heveriko fa tsy mandeha any amin'ny usf izy fa mipetraka manodidina eto
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv","FreeMsg Hey ry malala fa efa 3 herinandro izao ary tsy misy valiny! Mbola mila mahafinaritra anao ve aho? tb ok! XxX std chgs alefa, £1.50 ho an'ny rcv"
ham,Even my brother is not like to speak with me. They treat me like aids patent.,Na ny rahalahiko aza tsy tia miresaka amiko. Mitondra ahy toy ny patanty fanampiana izy ireo.
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,Araka ny fangatahanao 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' dia napetraka ho antso an-tariby ho an'ny mpiantso rehetra. Tsindrio *9 raha handika ny namanao Callertune
spam,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,MPANDRESY!! Amin'ny maha-mpanjifa tambajotra sarobidy anao dia voafidy handray valisoa £900 ianao! Raha mangataka antsoy ny 09061701461. Kaody fitakiana KL341. 12 ora ihany no manankery.
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,Efa 11 volana na mihoatra ve ny findainao? UR manan-jo hanavao ny finday miloko farany miaraka amin'ny fakan-tsary maimaimpoana! Antsoy maimaimpoana ny Mobile Update Co amin'ny 08002986030
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.","Hody tsy ho ela aho ary tsy te hiresaka momba an'io zavatra io intsony aho anio alina, k? Efa nitomany aho androany."
